Row ID	Water per acre	Salinity level	Fertilizer per acre	Pecan Yield
1	73.75588729	19.26225316	46.412574	430.414973
2	90	12	52	495
3	83.05178511	15.53428384	49.95866118	458.6735259
4	68.13895387	22.15673579	42.89680615	426.8806928
5	61.23363536	29.55577014	40.58135332	368.8117425
6	100	10	50	500
7	49.04856094	32.55837309	31.67147766	323.4700767
8	53.3632028	24.44717683	32.46248404	355.5620014
9	102.1106133	17.81579997	60.14761405	508.6552929
10	55.70525752	36.48678541	38.33034255	338.9849705
11	51.06414251	34.33754263	33.8478565	332.6952485
12	86.71197884	22.39725196	50.99779935	447.0652778
13	59.05727883	28.48145893	38.29783283	365.5777986
14	99.6839374	22.80395423	61.62069808	490.2917424
15	93.26966382	21.0466364	57.08534456	483.0707497
16	103.8030272	18.52199958	65.70530781	518.4129135
17	104.1844163	18.99230551	68.56218279	525.3739261
18	64.36574446	20.80607248	40.57430482	401.755201
19	73.80621804	24.35447779	45.46725841	443.4135913
20	95.42136576	21.92974189	59.09749737	487.6101689
21	95.30800188	14.17444658	56.24152264	499.5706979
22	85.0840744	17.13752947	51.16783032	466.3321585
23	70.73031077	23.32860802	45.02897636	440.4270755
24	70.1350151	18.34681617	45.67683829	427.8918657
25	65.4850627	30.52224383	42.85228038	376.045106
26	80	15	48	450
27	111.7887098	16.95795083	60.89850045	535.8058482
28	57.46580819	28.40639979	37.29215795	363.9973762
29	66.51414765	22.07611002	41.77272703	417.5909032
30	103.9494619	11.58833197	52.78311257	503.137672
31	107.6682752	14.02950183	56.12208531	512.9823344
32	40	27	25	310
33	93.60481939	13.25168773	54.74721706	498.1509762
34	46.82922637	30.56507477	29.22687637	316.7512219
35	102.8403168	17.88854957	63.04095305	510.1864958
36	52.30867232	35.67141895	36.20817245	337.8018137
37	70	18	45	420
38	55.41949591	27.2551615	34.61795861	363.2053818
39	79.90734227	20.76547284	49.76343199	438.4818291
40	115.559116	17.21271607	62.63409748	543.79796
41	60	20	40	400
42	59.66505184	37.61397015	38.86589086	348.9785821
43	53.42587438	26.11434906	32.83570639	355.6294656
44	91.25556043	23.45165407	53.77969759	447.6718997
45	43.15061929	28.59168558	27.69590768	314.3953532
46	69.57088174	23.15997745	44.75730912	432.6458696
47	104.929153	12.81280836	53.29673539	504.8625887
48	75.3016202	19.53550399	48.24216574	436.9061129
49	111.7364431	15.87681298	58.93653022	529.5617547
50	65.80216436	21.55844931	41.17624675	409.0782528
51	90.87137357	19.92775879	55.99456787	477.7353689
52	87.99895943	18.25220909	53.78640686	472.0857036
53	82.50585389	21.93808555	49.8842198	446.4308304
54	109.9959228	14.73111457	56.13307605	519.8779809
55	50	23	30	350
56	97.35974839	15.83288802	58.20115963	508.599553
